title,category,description,name
KakaoTalk : Messenger,Communication,"KakaoTalk - fast, fun, and reliable messenger for all",카카오톡
Naver Papago - AI Translator,Tools,"Smart AI Translator, dreaming of a world communicating without language barriers",파파고
KakaoMap - Map / Navigation,Travel & Local,KakaoMap will take you to nice places!,카카오맵
네이버 - NAVER,Books & Reference,Enjoy Naver App's special search features and various services. Smartphones,네이버
쿠팡 (Coupang),Shopping,"Enjoy your shopping with our app and get the best selection, pricing & benefits.",쿠팡
Instagram,Social,"Create & share photos, stories, & reels with friends you love",인스타그램
"NAVER Map, Navigation",Maps & Navigation,South Korea's GPS navigation Get started right away,네이버맵
Zigzag: +7000 shops in one app,Shopping,The most beloved K-style fashion & beauty,지그재그
LinkedIn: Jobs & Business News,Business,"Make connections, begin your career journey, & find the job that's right for you",링크드인
네이버 블로그 - Naver Blog,Social,당신의 모든 기록을 담는 공간,네이버블로그
Google Chrome,Communication,Fast and secure web browser,크롬
